id,order_id,service_name,started_at,completed_at,duration_ms,retry_count,outcome
2774d5ed-dbcf-48b0-8db6-dad2ffeecac5,414585a9-0aaa-47cc-a259-1a38aaaf1389,payment,2026-06-10T21:06:18.812886Z,2026-06-10T21:06:24.117391Z,5305,0,SUCCESS
c6345e1c-c8d3-4f81-9917-0ee35009c3a9,414585a9-0aaa-47cc-a259-1a38aaaf1389,kitchen,2026-06-10T21:06:24.108863Z,2026-06-10T21:06:24.446480Z,338,0,SUCCESS
32a07518-3f8d-45e5-bb8b-f0ac5ffb4ad3,97987df2-a53a-4b11-9524-e1dd7d0504d0,payment,2026-06-10T21:06:24.124740Z,2026-06-10T21:06:29.248268Z,5124,0,SUCCESS
9d5d5372-7121-4135-8635-3be75b3719a5,414585a9-0aaa-47cc-a259-1a38aaaf1389,delivery,2026-06-10T21:06:24.439436Z,2026-06-10T21:06:25.123255Z,684,0,SUCCESS
2bdf3304-59ac-414b-b7db-e2e7a55915d8,97987df2-a53a-4b11-9524-e1dd7d0504d0,kitchen,2026-06-10T21:06:29.241840Z,2026-06-10T21:06:29.512767Z,271,0,SUCCESS
b4689dfd-ba13-4124-aa3e-4549dfa7fdcf,53de0c30-0a01-458c-b3bd-1b98a05d519d,payment,2026-06-10T21:06:29.254596Z,2026-06-10T21:06:34.375294Z,5121,0,SUCCESS
0c0a3284-0158-4aea-8871-b122c35e6ae5,97987df2-a53a-4b11-9524-e1dd7d0504d0,delivery,2026-06-10T21:06:29.507638Z,2026-06-10T21:06:30.180226Z,673,0,SUCCESS
5f80a7c8-b686-4d7d-ac06-0b2e023d8d9a,53de0c30-0a01-458c-b3bd-1b98a05d519d,kitchen,2026-06-10T21:06:34.366936Z,2026-06-10T21:06:34.593731Z,227,0,SUCCESS
b25b991a-e0ed-40c1-9752-9e17efa8bbdb,cabe6759-950a-4262-b9c7-3d8fa177c41b,payment,2026-06-10T21:06:34.380753Z,2026-06-10T21:06:39.533077Z,5152,0,SUCCESS
e3db599a-42f0-42ad-a8bb-11867d349412,53de0c30-0a01-458c-b3bd-1b98a05d519d,delivery,2026-06-10T21:06:34.587389Z,2026-06-10T21:06:35.269253Z,682,0,SUCCESS
